Geno,Rep,Day,lig_hgt_px,lig_hgt_cm
A10,1,19,306,4.88
A10,2,19,374,5.96
A10,3,19,324,5.17
A10,4,19,377,6.01
A10,5,19,298,4.75
A10,6,19,355,5.66
A10,7,19,378,6.03
A10,8,19,389,6.2
A10,9,19,381,6.08
A10,10,19,348,5.55
RIL39,1,24,696,11.1
RIL39,2,24,636,10.14
RIL39,3,24,594,9.47
RIL39,4,24,627,10
RIL39,5,24,361,5.76
RIL39,6,24,915,14.59
RIL39,7,24,832,13.27
RIL39,8,24,714,11.39
RIL39,9,24,702,11.2
RIL39,10,24,562,8.96
RIL110,1,23,901,14.37
RIL110,2,23,840,13.4
RIL110,3,23,858,13.68
RIL110,4,23,884,14.1
RIL110,5,23,795,12.68
RIL110,6,23,967,15.42
RIL110,7,23,862,13.75
RIL110,8,23,873,13.92
RIL110,9,23,520,8.29
RIL110,10,23,855,13.64
RIL159,1,30,732,11.67
RIL159,2,30,774,12.34
RIL159,3,30,633,10.1
RIL159,4,30,799,12.74
RIL159,5,30,756,12.06
RIL159,6,30,622,9.92
RIL159,7,30,751,11.98
RIL159,8,30,740,11.8
RIL159,9,30,742,11.83
RIL159,10,30,585,9.33
B100,1,27,820,13.08
B100,2,27,837,13.35
B100,3,27,606,9.67
B100,4,27,690,11
B100,5,27,746,11.9
B100,6,27,774,12.34
B100,7,27,783,12.49
B100,8,27,823,13.13
B100,9,27,781,12.46
B100,10,27,761,12.14